$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,QWD(m3s-1)
    70.500,   14.1600
    70.600,   14.1600
    70.700,   14.1600
    70.800,   14.1600
    70.900,   14.1600
    71.000,   14.1600
    71.100,   14.1600
    71.200,   14.1600
    71.300,   14.1600
    71.400,   14.1600
    71.500,   14.1600
    71.600,   14.1600
    71.700,   14.1600
    71.800,   14.1600
    71.900,   14.1600
    72.000,   14.1600
    72.100,   14.1600
    72.200,   14.1600
    72.300,   14.1600
    72.400,   14.1600
    72.500,   14.1600
    72.600,   14.1600
    72.700,   14.1600
    72.800,   14.1600
    72.900,   14.1600
    73.000,   14.1600
    73.100,   14.1600
    73.200,   14.1600
    73.300,   14.1600
    73.400,   14.1600
    73.500,   14.1600
    73.600,   14.1600
    73.700,   14.1600
    73.800,   14.1600
    73.900,   14.1600
    74.000,   14.1600
    74.100,   14.1600
    74.200,   14.1600
    74.300,   14.1600
    74.400,   14.1600
    74.500,   14.1600
    74.600,   14.1600
    74.700,   14.1600
    74.800,   14.1600
    74.900,   14.1600
    75.000,   14.1600
    75.100,   21.2400
    75.200,   21.2400
    75.300,   21.2400
    75.400,   21.2400
    75.500,   21.2400
    75.600,   21.2400
    75.700,   21.2400
    75.800,   21.2400
    75.900,   21.2400
    76.000,   21.2400
    76.100,   21.2400
    76.200,   21.2400
    76.300,   21.2400
    76.400,   21.2400
    76.500,   21.2400
    76.600,   21.2400
    76.700,   21.2400
    76.800,   21.2400
    76.900,   21.2400
    77.000,   21.2400
    77.100,   21.2400
    77.200,   21.2400
    77.300,   21.2400
    77.400,   21.2400
    77.500,   21.2400
    77.600,   21.2400
    77.700,   21.2400
    77.800,   21.2400
    77.900,   21.2400
    78.000,   21.2400
    78.100,   21.2400
    78.200,   21.2400
    78.300,   21.2400
    78.400,   21.2400
    78.500,   21.2400
    78.600,   21.2400
    78.700,   21.2400
    78.800,   21.2400
    78.900,   21.2400
    79.000,   21.2400
    79.100,   21.2400
    79.200,   21.2400
    79.300,   21.2400
    79.400,   21.2400
    79.500,   21.2400
    79.600,   21.2400
    79.700,   21.2400
    79.800,   21.2400
    79.900,   21.2400
    80.000,   21.2400
    80.100,   21.2400
    80.200,   21.2400
    80.300,   21.2400
    80.400,   21.2400
    80.500,   21.2400
    80.600,   21.2400
    80.700,   21.2400
    80.800,   21.2400
    80.900,   21.2400
    81.000,   21.2400
    81.100,   21.2400
    81.200,   21.2400
    81.300,   21.2400
    81.400,   21.2400
    81.500,   21.2400
    81.600,   21.2400
    81.700,   21.2400
    81.800,   21.2400
    81.900,   21.2400
    82.000,   21.2400
    82.100,   21.2400
    82.200,   21.2400
    82.300,   21.2400
    82.400,   21.2400
    82.500,   21.2400
    82.600,   21.2400
    82.700,   21.2400
    82.800,   21.2400
    82.900,   21.2400
    83.000,   21.2400
    83.100,   21.2400
    83.200,   21.2400
    83.300,   21.2400
    83.400,   21.2400
    83.500,   21.2400
    83.600,   21.2400
    83.700,   21.2400
    83.800,   21.2400
    83.900,   21.2400
    84.000,   21.2400
    84.100,   21.2400
    84.200,   21.2400
    84.300,   21.2400
    84.400,   21.2400
    84.500,   21.2400
    84.600,   21.2400
    84.700,   21.2400
    84.800,   21.2400
    84.900,   21.2400
    85.000,   21.2400
    85.100,   21.2400
    85.200,   21.2400
    85.300,   21.2400
    85.400,   21.2400
    85.500,   21.2400
