$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:408.     

JDAY,     TSS,    TISS,
    57.200,    3.3651,    3.3651,
    57.300,    3.3383,    3.3383,
    57.400,    3.3068,    3.3068,
    57.500,    3.2675,    3.2675,
    57.600,    3.2263,    3.2263,
    57.700,    3.2347,    3.2346,
    57.800,    3.1834,    3.1833,
    57.900,    3.1164,    3.1163,
    58.000,    3.0331,    3.0330,
    58.100,    2.9340,    2.9339,
    58.200,    2.8209,    2.8208,
    58.300,    2.7750,    2.7749,
    58.400,    2.6387,    2.6386,
    58.500,    2.4936,    2.4935,
    58.600,    2.3719,    2.3718,
    58.700,    2.3149,    2.3148,
    58.800,    2.2293,    2.2292,
    58.900,    2.1711,    2.1710,
    59.000,    2.1322,    2.1321,
    59.100,    2.1038,    2.1037,
    59.200,    2.0747,    2.0746,
    59.300,    2.0447,    2.0446,
    59.400,    2.0140,    2.0139,
    59.500,    1.9841,    1.9840,
    59.600,    1.9083,    1.9082,
    59.700,    1.8223,    1.8222,
    59.800,    1.7688,    1.7688,
    59.900,    1.7390,    1.7390,
    60.000,    1.7238,    1.7238,
    60.100,    1.7147,    1.7147,
    60.200,    1.7042,    1.7042,
    60.300,    1.6948,    1.6948,
    60.400,    1.6869,    1.6868,
    60.500,    1.6838,    1.6838,
    60.600,    1.6841,    1.6841,
    60.700,    1.6844,    1.6844,
    60.800,    1.6853,    1.6853,
    60.900,    1.6864,    1.6863,
    61.000,    1.6846,    1.6846,
    61.100,    1.6681,    1.6681,
    61.200,    1.6412,    1.6412,
    61.300,    1.6427,    1.6427,
    61.400,    1.6873,    1.6873,
    61.500,    1.6992,    1.6992,
    61.600,    1.7035,    1.7035,
    61.700,    1.7074,    1.7074,
    61.800,    1.6997,    1.6997,
    61.900,    1.6666,    1.6666,
    62.000,    1.6342,    1.6342,
    62.100,    1.6077,    1.6077,
    62.200,    1.6110,    1.6110,
    62.300,    1.6084,    1.6084,
    62.400,    1.6333,    1.6333,
    62.500,    1.6382,    1.6382,
    62.600,    1.6379,    1.6379,
    62.700,    1.6406,    1.6406,
    62.800,    1.6506,    1.6506,
    62.900,    1.6674,    1.6674,
    63.000,    1.6742,    1.6742,
    63.100,    1.6830,    1.6830,
    63.200,    1.6935,    1.6935,
    63.300,    1.7294,    1.7294,
    63.400,    1.7499,    1.7500,
    63.500,    1.7755,    1.7756,
    63.600,    1.8276,    1.8276,
    63.700,    1.8677,    1.8677,
    63.800,    1.9085,    1.9085,
    63.900,    1.9499,    1.9500,
    64.000,    2.0048,    2.0048,
    64.100,    2.0362,    2.0363,
    64.200,    2.0624,    2.0625,
    64.300,    2.0849,    2.0850,
    64.400,    2.1040,    2.1041,
    64.500,    2.1192,    2.1192,
    64.600,    2.1324,    2.1324,
    64.700,    2.1436,    2.1436,
    64.800,    2.1510,    2.1510,
    64.900,    2.1262,    2.1262,
    65.000,    2.1282,    2.1282,
    65.100,    2.1288,    2.1289,
    65.200,    2.1285,    2.1285,
    65.300,    2.1279,    2.1279,
    65.400,    2.1281,    2.1281,
    65.500,    2.1308,    2.1308,
    65.600,    2.1336,    2.1336,
    65.700,    2.1366,    2.1366,
    65.800,    2.1120,    2.1120,
    65.900,    2.1184,    2.1184,
    66.000,    2.1256,    2.1256,
    66.100,    2.1319,    2.1319,
    66.200,    2.1393,    2.1393,
    66.300,    2.1313,    2.1313,
    66.400,    2.1406,    2.1406,
    66.500,    2.1475,    2.1475,
    66.600,    2.1527,    2.1527,
    66.700,    2.1568,    2.1568,
    66.800,    2.1599,    2.1599,
    66.900,    2.1624,    2.1624,
    67.000,    2.1529,    2.1529,
    67.100,    2.1533,    2.1533,
    67.200,    2.1518,    2.1518,
    67.300,    2.1512,    2.1511,
    67.400,    2.1512,    2.1512,
    67.500,    2.1510,    2.1510,
    67.600,    2.1502,    2.1502,
    67.700,    2.1486,    2.1486,
    67.800,    2.1467,    2.1467,
    67.900,    2.1432,    2.1432,
    68.000,    2.1390,    2.1390,
    68.100,    2.1336,    2.1336,
    68.200,    2.1278,    2.1278,
    68.300,    2.1223,    2.1223,
    68.400,    2.1172,    2.1172,
    68.500,    2.1127,    2.1127,
    68.600,    2.1088,    2.1088,
    68.700,    2.1046,    2.1046,
    68.800,    2.1001,    2.1000,
    68.900,    2.0952,    2.0952,
    69.000,    2.0903,    2.0903,
    69.100,    2.0862,    2.0862,
    69.200,    2.0833,    2.0833,
    69.300,    2.0733,    2.0733,
    69.400,    2.0718,    2.0718,
    69.500,    2.0685,    2.0684,
    69.600,    2.0661,    2.0661,
    69.700,    2.0659,    2.0659,
    69.800,    2.0662,    2.0662,
    69.900,    2.0668,    2.0668,
    70.000,    2.0662,    2.0662,
    70.100,    2.0633,    2.0633,
    70.200,    2.0586,    2.0586,
    70.300,    2.0465,    2.0464,
    70.400,    2.0326,    2.0326,
    70.500,    2.0170,    2.0170,
    70.600,    2.0020,    2.0020,
    70.700,    1.9852,    1.9852,
    70.800,    1.9673,    1.9673,
    70.900,    1.9481,    1.9481,
    71.000,    1.9283,    1.9283,
    71.100,    1.9079,    1.9079,
    71.200,    1.8873,    1.8872,
    71.300,    1.8705,    1.8705,
    71.400,    1.8799,    1.8799,
    71.500,    1.9114,    1.9114,
    71.600,    1.9729,    1.9730,
