$Concentration file for segment 11

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    36.300,   23.6349,   23.6358,    1.3561,    1.5040,
    36.400,   23.6389,   23.7161,    1.3434,    1.4998,
    36.500,   23.6431,   23.7945,    1.3302,    1.4954,
    36.600,   23.6450,   23.8879,    1.3220,    1.4933,
    36.700,   23.6483,   23.9705,    1.3111,    1.4895,
    36.800,   23.6536,   24.0371,    1.2955,    1.4829,
    36.900,   23.6597,   24.0982,    1.2779,    1.4754,
    37.000,   23.6665,   24.1580,    1.2593,    1.4677,
    37.100,   23.6741,   24.2129,    1.2388,    1.4594,
    37.200,   23.6839,   24.2548,    1.2141,    1.4490,
    37.300,   23.6935,   24.2983,    1.1903,    1.4389,
    37.400,   23.7160,   24.2659,    1.1422,    1.4168,
    37.500,   23.7206,   24.3417,    1.1305,    1.4119,
    37.600,   23.7272,   24.4042,    1.1144,    1.4050,
    37.700,   23.7283,   24.5006,    1.1107,    1.4033,
    37.800,   23.7306,   24.5884,    1.1055,    1.4004,
    37.900,   23.7350,   24.6611,    1.0955,    1.3952,
    38.000,   23.7403,   24.7278,    1.0836,    1.3894,
    38.100,   23.7428,   24.8073,    1.0753,    1.3860,
    38.200,   23.7463,   24.8805,    1.0645,    1.3816,
    38.300,   23.7497,   24.9549,    1.0545,    1.3776,
    38.400,   23.7525,   25.0332,    1.0455,    1.3744,
    38.500,   23.7564,   25.1056,    1.0335,    1.3700,
    38.600,   23.7619,   25.1660,    1.0168,    1.3634,
    38.700,   23.7628,   25.2546,    1.0088,    1.3613,
    38.800,   23.7614,   25.3599,    1.0062,    1.3618,
    38.900,   23.7574,   25.4845,    1.0090,    1.3657,
    39.000,   23.7528,   25.6118,    1.0125,    1.3700,
    39.100,   23.7480,   25.7361,    1.0153,    1.3740,
    39.200,   23.7446,   25.8510,    1.0159,    1.3767,
    39.300,   23.7972,   25.6280,    0.9317,    1.3288,
    39.400,   23.8065,   25.6665,    0.9164,    1.3213,
    39.500,   23.8146,   25.7138,    0.9048,    1.3156,
    39.600,   23.8211,   25.7795,    0.8993,    1.3131,
    39.700,   23.8172,   25.8892,    0.9055,    1.3170,
    39.800,   23.8153,   25.9848,    0.9066,    1.3179,
    39.900,   23.8183,   26.0623,    0.9008,    1.3152,
    40.000,   23.8227,   26.1341,    0.8929,    1.3116,
    40.100,   23.8279,   26.1984,    0.8822,    1.3066,
    40.200,   23.8177,   26.3582,    0.8919,    1.3150,
    40.300,   23.8187,   26.4457,    0.8853,    1.3132,
    40.400,   23.8206,   26.5290,    0.8781,    1.3109,
    40.500,   23.8214,   26.6247,    0.8741,    1.3106,
    40.600,   23.8286,   26.6882,    0.8637,    1.3059,
    40.700,   23.8155,   26.8715,    0.8787,    1.3179,
    40.800,   23.8145,   26.9420,    0.8703,    1.3140,
    40.900,   23.8161,   27.0199,    0.8632,    1.3111,
    41.000,   23.8173,   27.1086,    0.8575,    1.3096,
    41.100,   23.8206,   27.1814,    0.8494,    1.3063,
    41.200,   23.8322,   27.1852,    0.8289,    1.2943,
    41.300,   23.8434,   27.1900,    0.8089,    1.2826,
    41.400,   23.8485,   27.2452,    0.7987,    1.2775,
    41.500,   23.8471,   27.3567,    0.7980,    1.2794,
    41.600,   23.8683,   27.2907,    0.7661,    1.2580,
    41.700,   23.8299,   27.6810,    0.8137,    1.2952,
    41.800,   23.8366,   27.7279,    0.8015,    1.2882,
    41.900,   23.8501,   27.7276,    0.7817,    1.2754,
    42.000,   23.8647,   27.7225,    0.7610,    1.2621,
    42.100,   23.8832,   27.6888,    0.7370,    1.2455,
    42.200,   23.9005,   27.6646,    0.7148,    1.2302,
    42.300,   23.9299,   27.5464,    0.6786,    1.2037,
    42.400,   23.9567,   27.4472,    0.6467,    1.1803,
    42.500,   23.9695,   27.4548,    0.6325,    1.1705,
    42.600,   23.9760,   27.5108,    0.6256,    1.1665,
    42.700,   23.9733,   27.6382,    0.6280,    1.1704,
    42.800,   23.9877,   27.6409,    0.6120,    1.1597,
    42.900,   24.0438,   27.3387,    0.5557,    1.1149,
    43.000,   24.0683,   27.2698,    0.5340,    1.0976,
    43.100,   24.0759,   27.3194,    0.5290,    1.0940,
    43.200,   24.0969,   27.2861,    0.5132,    1.0812,
    43.300,   24.1139,   27.2848,    0.5022,    1.0723,
    43.400,   24.1282,   27.2978,    0.4931,    1.0647,
    43.500,   24.1398,   27.3271,    0.4863,    1.0589,
    43.600,   24.1472,   27.3826,    0.4826,    1.0556,
    43.700,   24.1471,   27.4892,    0.4842,    1.0574,
    43.800,   24.1865,   27.3891,    0.4625,    1.0379,
    43.900,   24.2004,   27.4222,    0.4560,    1.0325,
    44.000,   24.1983,   27.5347,    0.4579,    1.0350,
    44.100,   24.2093,   27.5841,    0.4523,    1.0308,
    44.200,   24.2101,   27.6822,    0.4520,    1.0314,
    44.300,   24.2229,   27.7243,    0.4460,    1.0269,
    44.400,   24.2356,   27.7661,    0.4403,    1.0226,
    44.500,   24.2467,   27.8134,    0.4354,    1.0190,
    44.600,   24.2485,   27.9010,    0.4352,    1.0189,
    44.700,   24.3281,   27.6562,    0.4017,    0.9893,
    44.800,   24.3323,   27.7380,    0.4021,    0.9901,
    44.900,   24.3366,   27.8177,    0.4031,    0.9907,
    45.000,   24.3415,   27.8942,    0.4031,    0.9905,
    45.100,   24.3441,   27.9833,    0.4037,    0.9910,
    45.200,   24.3488,   28.0576,    0.4029,    0.9900,
    45.300,   24.3539,   28.1281,    0.4017,    0.9887,
    45.400,   24.3591,   28.1970,    0.4007,    0.9876,
    45.500,   24.3638,   28.2703,    0.3998,    0.9867,
    45.600,   24.3804,   28.2788,    0.3941,    0.9811,
    45.700,   24.3695,   28.4643,    0.4040,    0.9911,
    45.800,   24.3698,   28.5797,    0.4083,    0.9943,
    45.900,   24.3717,   28.6859,    0.4118,    0.9969,
