$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,T(C)
    63.700,    4.62
    63.800,    4.61
    63.900,    4.60
    64.000,    4.59
    64.100,    4.59
    64.200,    4.59
    64.300,    4.58
    64.400,    4.57
    64.500,    4.56
    64.600,    4.55
    64.700,    4.55
    64.800,    4.54
    64.900,    4.52
    65.000,    4.51
    65.100,    4.50
    65.200,    4.49
    65.300,    4.48
    65.400,    4.46
    65.500,    4.46
    65.600,    4.44
    65.700,    4.43
    65.800,    4.41
    65.900,    4.39
    66.000,    4.36
    66.100,    4.34
    66.200,    4.32
    66.300,    4.31
    66.400,    4.31
    66.500,    4.32
    66.600,    4.33
    66.700,    4.33
    66.800,    4.32
    66.900,    4.31
    67.000,    4.29
    67.100,    4.29
    67.200,    4.28
    67.300,    4.28
    67.400,    4.29
    67.500,    4.30
    67.600,    4.31
    67.700,    4.30
    67.800,    4.30
    67.900,    4.30
    68.000,    4.30
    68.100,    4.30
    68.200,    4.30
    68.300,    4.29
    68.400,    4.29
    68.500,    4.30
    68.600,    4.30
    68.700,    4.31
    68.800,    4.31
    68.900,    4.31
    69.000,    4.31
    69.100,    4.31
    69.200,    4.31
    69.300,    4.31
    69.400,    4.31
    69.500,    4.31
    69.600,    4.32
    69.700,    4.32
    69.800,    4.33
    69.900,    4.33
    70.000,    4.33
    70.100,    4.33
    70.200,    4.33
    70.300,    4.34
    70.400,    4.34
    70.500,    4.34
    70.600,    4.34
    70.700,    4.34
    70.800,    4.35
    70.900,    4.35
    71.000,    4.35
    71.100,    4.35
    71.200,    4.35
    71.300,    4.35
    71.400,    4.35
    71.500,    4.35
    71.600,    4.35
    71.700,    4.35
    71.800,    4.35
    71.900,    4.35
    72.000,    4.35
    72.100,    4.34
    72.200,    4.34
    72.300,    4.33
    72.400,    4.34
    72.500,    4.34
    72.600,    4.33
    72.700,    4.32
    72.800,    4.32
    72.900,    4.32
    73.000,    4.32
    73.100,    4.32
    73.200,    4.32
    73.300,    4.32
    73.400,    4.32
    73.500,    4.32
    73.600,    4.32
    73.700,    4.33
    73.800,    4.33
    73.900,    4.33
    74.000,    4.33
    74.100,    4.33
    74.200,    4.33
    74.300,    4.33
    74.400,    4.33
    74.500,    4.33
    74.600,    4.33
    74.700,    4.34
    74.800,    4.34
    74.900,    4.34
    75.000,    4.34
    75.100,    4.34
    75.200,    4.34
    75.300,    4.35
    75.400,    4.34
    75.500,    4.33
    75.600,    4.33
    75.700,    4.34
    75.800,    4.34
    75.900,    4.34
    76.000,    4.34
    76.100,    4.34
    76.200,    4.33
    76.300,    4.32
    76.400,    4.32
    76.500,    4.32
    76.600,    4.32
    76.700,    4.33
    76.800,    4.32
    76.900,    4.33
    77.000,    4.33
    77.100,    4.33
    77.200,    4.32
    77.300,    4.32
    77.400,    4.32
    77.500,    4.32
    77.600,    4.32
    77.700,    4.32
    77.800,    4.32
    77.900,    4.32
    78.000,    4.32
    78.100,    4.32
    78.200,    4.32
    78.300,    4.32
    78.400,    4.31
    78.500,    4.31
    78.600,    4.31
    78.700,    4.32
    78.800,    4.32
    78.900,    4.32
    79.000,    4.32
    79.100,    4.32
    79.200,    4.32
    79.300,    4.32
    79.400,    4.32
    79.500,    4.32
    79.600,    4.33
    79.700,    4.33
    79.800,    4.33
    79.900,    4.32
    80.000,    4.32
    80.100,    4.32
    80.200,    4.33
    80.300,    4.33
    80.400,    4.33
    80.500,    4.33
    80.600,    4.34
    80.700,    4.34
    80.800,    4.35
    80.900,    4.35
    81.000,    4.36
    81.100,    4.37
    81.200,    4.37
    81.300,    4.38
    81.400,    4.38
    81.500,    4.39
    81.600,    4.41
    81.700,    4.43
    81.800,    4.44
    81.900,    4.46
    82.000,    4.49
    82.100,    4.52
    82.200,    4.53
    82.300,    4.53
    82.400,    4.54
    82.500,    4.53
    82.600,    4.53
    82.700,    4.53
    82.800,    4.53
    82.900,    4.53
    83.000,    4.53
    83.100,    4.53
    83.200,    4.53
    83.300,    4.53
    83.400,    4.52
    83.500,    4.51
    83.600,    4.51
    83.700,    4.51
    83.800,    4.51
    83.900,    4.50
    84.000,    4.49
    84.100,    4.49
    84.200,    4.49
    84.300,    4.48
    84.400,    4.48
    84.500,    4.48
    84.600,    4.48
    84.700,    4.47
    84.800,    4.47
    84.900,    4.46
    85.000,    4.47
    85.100,    4.46
    85.200,    4.46
    85.300,    4.45
    85.400,    4.46
    85.500,    4.46
