$Flow file for segment 11
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
    42.400,   28.320,            0.000,
    42.500,   28.320,            0.000,
    42.600,   28.320,            0.000,
    42.700,   28.320,            0.000,
    42.800,   28.320,            0.000,
    42.900,   28.320,            0.000,
    43.000,   28.320,            0.000,
    43.100,   28.320,            0.000,
    43.200,   28.320,            0.000,
    43.300,   28.320,            0.000,
    43.400,   28.320,            0.000,
    43.500,   28.320,            0.000,
    43.600,   28.320,            0.000,
    43.700,   28.320,            0.000,
    43.800,   28.320,            0.000,
    43.900,   28.320,            0.000,
    44.000,   28.320,            0.000,
    44.100,   28.320,            0.000,
    44.200,   28.320,            0.000,
    44.300,   28.320,            0.000,
    44.400,   28.320,            0.000,
    44.500,   28.320,            0.000,
    44.600,   28.320,            0.000,
    44.700,   28.320,            0.000,
    44.800,   28.320,            0.000,
    44.900,   28.320,            0.000,
    45.000,   28.320,            0.000,
    45.100,   28.320,            0.000,
    45.200,   28.320,            0.000,
    45.300,   28.320,            0.000,
    45.400,   28.320,            0.000,
    45.500,   28.320,            0.000,
    45.600,   28.320,            0.000,
    45.700,   28.320,            0.000,
    45.800,   28.320,            0.000,
    45.900,   28.320,            0.000,
    46.000,   28.320,            0.000,
    46.100,   28.320,            0.000,
    46.200,   28.320,            0.000,
    46.300,   28.320,            0.000,
    46.400,   28.320,            0.000,
    46.500,   28.320,            0.000,
    46.600,   28.320,            0.000,
    46.700,   28.320,            0.000,
    46.800,   28.320,            0.000,
    46.900,   28.320,            0.000,
    47.000,   28.320,            0.000,
    47.100,   28.320,            0.000,
    47.200,   28.320,            0.000,
    47.300,   28.320,            0.000,
    47.400,   28.320,            0.000,
    47.500,   28.320,            0.000,
    47.600,   28.320,            0.000,
    47.700,   28.320,            0.000,
    47.800,   28.320,            0.000,
    47.900,   28.320,            0.000,
    48.000,   28.320,            0.000,
    48.100,   28.320,            0.000,
    48.200,   28.320,            0.000,
    48.300,   28.320,            0.000,
    48.400,   28.320,            0.000,
    48.500,   28.320,            0.000,
    48.600,   28.320,            0.000,
    48.700,   28.320,            0.000,
    48.800,   28.320,            0.000,
    48.900,   28.320,            0.000,
    49.000,   28.320,            0.000,
    49.100,   28.320,            0.000,
    49.200,   28.320,            0.000,
    49.300,   28.320,            0.000,
    49.400,   28.320,            0.000,
    49.500,   28.320,            0.000,
    49.600,   28.320,            0.000,
    49.700,   28.320,            0.000,
    49.800,   28.320,            0.000,
    49.900,   28.320,            0.000,
    50.000,   28.320,            0.000,
    50.100,   28.320,            0.000,
    50.200,   28.320,            0.000,
    50.300,   28.320,            0.000,
    50.400,   28.320,            0.000,
    50.500,   28.320,            0.000,
    50.600,   28.320,            0.000,
    50.700,   28.320,            0.000,
    50.800,   28.320,            0.000,
    50.900,   28.320,            0.000,
    51.000,   28.320,            0.000,
    51.100,   28.320,            0.000,
    51.200,   28.320,            0.000,
    51.300,   28.320,            0.000,
    51.400,   28.320,            0.000,
    51.500,   28.320,            0.000,
    51.600,   28.320,            0.000,
    51.700,   28.320,            0.000,
    51.800,   28.320,            0.000,
    51.900,   28.320,            0.000,
    52.000,   28.320,            0.000,
    52.100,   28.320,            0.000,
    52.200,   28.320,            0.000,
    52.300,   28.320,            0.000,
    52.400,   28.320,            0.000,
    52.500,   28.320,            0.000,
    52.600,   28.320,            0.000,
    52.700,   28.320,            0.000,
    52.800,   28.320,            0.000,
    52.900,   28.320,            0.000,
    53.000,   28.320,            0.000,
    53.100,   28.320,            0.000,
    53.200,   28.320,            0.000,
    53.300,   28.320,            0.000,
    53.400,   28.320,            0.000,
    53.500,   28.320,            0.000,
    53.600,   28.320,            0.000,
    53.700,   28.320,            0.000,
    53.800,   28.320,            0.000,
    53.900,   28.320,            0.000,
    54.000,   28.320,            0.000,
    54.100,   28.320,            0.000,
    54.200,   28.320,            0.000,
    54.300,   28.320,            0.000,
    54.400,   28.320,            0.000,
    54.500,   28.320,            0.000,
    54.600,   28.320,            0.000,
    54.700,   28.320,            0.000,
    54.800,   28.320,            0.000,
    54.900,   28.320,            0.000,
    55.000,   28.320,            0.000,
    55.100,   28.320,            0.000,
    55.200,   28.320,            0.000,
    55.300,   28.320,            0.000,
    55.400,   28.320,            0.000,
    55.500,   28.320,            0.000,
    55.600,   28.320,            0.000,
    55.700,   28.320,            0.000,
    55.800,   28.320,            0.000,
    55.900,   28.320,            0.000,
    56.000,   28.320,            0.000,
    56.100,   28.320,            0.000,
    56.200,   28.320,            0.000,
    56.300,   28.320,            0.000,
    56.400,   28.320,            0.000,
    56.500,   28.320,            0.000,
    56.600,   28.320,            0.000,
    56.700,   28.320,            0.000,
    56.800,   28.320,            0.000,
    56.900,   28.320,            0.000,
    57.000,   28.320,            0.000,
    57.100,   28.320,            0.000,
    57.200,   28.320,            0.000,
