$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    22.100,   22.5967,   15.2142,    5.9656,    2.4962,
    22.200,   22.6101,   15.2653,    5.8924,    2.4824,
    22.300,   22.6212,   15.3202,    5.8237,    2.4697,
    22.400,   22.6311,   15.3769,    5.7583,    2.4577,
    22.500,   22.6378,   15.4402,    5.6979,    2.4470,
    22.600,   22.6452,   15.5041,    5.6428,    2.4370,
    22.700,   22.6538,   15.5673,    5.5853,    2.4266,
    22.800,   22.6647,   15.6219,    5.5140,    2.4136,
    22.900,   22.6787,   15.6737,    5.4489,    2.4010,
    23.000,   22.6925,   15.7246,    5.3841,    2.3885,
    23.100,   22.7076,   15.7788,    5.3209,    2.3764,
    23.200,   22.7222,   15.8341,    5.2597,    2.3648,
    23.300,   22.7353,   15.8929,    5.2022,    2.3538,
    23.400,   22.7459,   15.9568,    5.1492,    2.3438,
    23.500,   22.7516,   16.0314,    5.1015,    2.3355,
    23.600,   22.7544,   16.1118,    5.0569,    2.3283,
    23.700,   22.7575,   16.1924,    5.0106,    2.3209,
    23.800,   22.7627,   16.2686,    4.9635,    2.3128,
    23.900,   22.7712,   16.3372,    4.9149,    2.3040,
    24.000,   22.7824,   16.3991,    4.8653,    2.2943,
    24.100,   22.7940,   16.4612,    4.8165,    2.2848,
    24.200,   22.8051,   16.5245,    4.7698,    2.2758,
    24.300,   22.8149,   16.5891,    4.7246,    2.2672,
    24.400,   22.8241,   16.6528,    4.6800,    2.2586,
    24.500,   22.8321,   16.7205,    4.6404,    2.2509,
    24.600,   22.8400,   16.7891,    4.6007,    2.2433,
    24.700,   22.8471,   16.8598,    4.5593,    2.2357,
    24.800,   22.8534,   16.9321,    4.5112,    2.2273,
    24.900,   22.8578,   17.0046,    4.4546,    2.2180,
    25.000,   22.8650,   17.0732,    4.4163,    2.2110,
    25.100,   22.8680,   17.1364,    4.3769,    2.2036,
    25.200,   22.8713,   17.1948,    4.3374,    2.1960,
    25.300,   22.8759,   17.2511,    4.2991,    2.1885,
    25.400,   22.8831,   17.3044,    4.2654,    2.1815,
    25.500,   22.8887,   17.3624,    4.2316,    2.1748,
    25.600,   22.8972,   17.4173,    4.2063,    2.1693,
    25.700,   22.9079,   17.4665,    4.1838,    2.1641,
    25.800,   22.9166,   17.5162,    4.1564,    2.1582,
    25.900,   22.9189,   17.5766,    4.1222,    2.1521,
    26.000,   22.9220,   17.6339,    4.0890,    2.1460,
    26.100,   22.9324,   17.6815,    4.0653,    2.1407,
    26.200,   22.9423,   17.7307,    4.0414,    2.1353,
    26.300,   22.9498,   17.7871,    4.0165,    2.1299,
    26.400,   22.9538,   17.8502,    3.9878,    2.1242,
    26.500,   22.9557,   17.9196,    3.9641,    2.1199,
    26.600,   22.9573,   17.9863,    3.9408,    2.1158,
    26.700,   22.9599,   18.0515,    3.9165,    2.1115,
    26.800,   22.9627,   18.1154,    3.8876,    2.1062,
    26.900,   22.9638,   18.1734,    3.8427,    2.0980,
    27.000,   22.9699,   18.2340,    3.8122,    2.0921,
    27.100,   22.9780,   18.2998,    3.7859,    2.0870,
    27.200,   23.0062,   18.3567,    3.7759,    2.0795,
    27.300,   23.0126,   18.4135,    3.7419,    2.0730,
    27.400,   23.0140,   18.4682,    3.7025,    2.0666,
