JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),     TDS,    Gen1,    ISS1,    ISS2,     TSS,    TISS,TISSIN  (kg/d),TISSOUT (kg/d),
    15.600,    10.000,   443.812,     5.426,    -0.006,    80.783,   182.882,     1.002,    56.412,   834.980,     1.000,     5.427,    70.201,   172.530,   252.785,   331.836,    16.056,     7.223,    22.605,    10.513,     5.090,     2.431,     7.522,     7.522, 0.000E+00, 0.000E+00,
    15.700,    10.000,   443.802,     5.406,    -0.002,    80.807,    54.890,     0.973,    56.402,   834.980,     1.000,     5.424,   -75.659,    51.783,   242.795,   331.745,    25.495,    12.998,    22.610,    10.585,     4.840,     2.391,     7.232,     7.232, 0.000E+00, 0.000E+00,
    15.800,    10.000,   443.790,     5.355,     0.010,    80.609,     0.000,     1.026,    56.390,   834.980,     1.000,     5.413,  -155.206,     0.000,   232.188,   331.500,    26.915,    28.978,    22.610,    10.730,     5.299,     2.462,     7.761,     7.761, 0.000E+00, 0.000E+00,
    15.900,    10.000,   443.777,     5.400,     0.025,    80.488,     0.000,     1.284,    56.377,   834.980,     1.000,     5.400,  -167.275,     0.000,   228.861,   331.713,    29.638,    34.785,    22.370,    10.225,     7.490,     2.848,    10.338,    10.338, 0.000E+00, 0.000E+00,
    16.000,    10.000,   443.764,     5.386,     0.031,    80.247,     0.000,     1.274,    56.364,   834.980,     1.000,     5.386,  -180.811,     0.000,   225.059,   331.648,    33.093,    41.129,    22.375,    10.305,     7.408,     2.834,    10.242,    10.242, 0.000E+00, 0.000E+00,
    16.100,    10.000,   443.756,     5.373,     0.031,    73.688,     0.000,     1.267,    56.356,   834.980,     1.000,     5.373,  -178.422,     0.000,   226.070,   331.584,    33.086,    39.822,    22.381,    10.388,     7.343,     2.822,    10.165,    10.165, 0.000E+00, 0.000E+00,
    16.200,    10.000,   443.750,     5.360,     0.024,    73.625,     0.000,     1.260,    56.350,   834.980,     1.000,     5.360,  -171.620,     0.000,   228.371,   331.522,    31.615,    36.854,    22.386,    10.470,     7.284,     2.812,    10.096,    10.096, 0.000E+00, 0.000E+00,
    16.300,    10.000,   443.743,     5.347,     0.037,    73.422,     0.747,     1.254,    56.343,   834.980,     1.000,     5.347,  -167.590,     0.705,   229.449,   331.462,    30.846,    35.435,    22.392,    10.551,     7.235,     2.802,    10.037,    10.037, 0.000E+00, 0.000E+00,
    16.400,    10.000,   443.735,     5.336,     0.026,    73.008,    63.746,     1.248,    56.335,   834.980,     1.000,     5.336,  -112.427,    60.137,   223.678,   331.408,    30.996,    33.839,    22.397,    10.629,     7.187,     2.793,     9.980,     9.980, 0.000E+00, 0.000E+00,
    16.500,    10.000,   443.727,     5.327,     0.011,    73.077,    84.696,     1.241,    56.327,   834.980,     1.000,     5.328,   -51.019,    79.902,   252.973,   331.368,    26.081,    26.444,    22.404,    10.705,     7.124,     2.782,     9.907,     9.907, 0.000E+00, 0.000E+00,
