$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
   194.100,   22.9093,   90.3868,    0.2057,    0.7956,
   194.204,   22.9180,   91.0994,    0.2073,    0.7977,
   194.304,   22.9109,   90.4808,    0.2071,    0.7952,
   194.400,   22.8855,   88.6709,    0.2063,    0.7878,
   194.500,   22.8680,   87.2685,    0.2065,    0.7822,
   194.600,   22.8486,   85.9432,    0.2080,    0.7765,
   194.700,   22.8212,   84.4588,    0.2117,    0.7694,
   194.802,   22.7403,   81.6353,    0.2213,    0.7521,
   194.903,   22.6994,   80.1232,    0.2269,    0.7425,
   195.000,   22.6615,   78.9181,    0.2319,    0.7341,
   195.100,   22.6717,   79.2188,    0.2350,    0.7354,
   195.200,   22.7059,   80.3321,    0.2367,    0.7420,
   195.301,   22.7443,   81.6650,    0.2369,    0.7498,
   195.400,   22.7537,   82.1123,    0.2374,    0.7516,
   195.500,   22.7456,   82.0003,    0.2383,    0.7495,
   195.600,   22.7334,   81.8122,    0.2392,    0.7467,
   195.700,   22.7174,   81.5517,    0.2399,    0.7434,
   195.802,   22.7145,   81.7397,    0.2396,    0.7428,
   195.900,   22.7347,   82.6622,    0.2385,    0.7469,
   196.000,   22.7499,   83.4156,    0.2378,    0.7499,
   196.100,   22.7871,   84.6744,    0.2373,    0.7569,
   196.200,   22.7468,   83.0447,    0.2400,    0.7469,
   196.302,   22.6639,   80.6319,    0.2411,    0.7296,
   196.400,   22.5627,   77.9433,    0.2374,    0.7094,
   196.500,   22.5061,   76.6454,    0.2320,    0.6985,
   196.600,   22.5335,   77.6556,    0.2312,    0.7036,
   196.700,   22.6164,   80.3895,    0.2336,    0.7199,
   196.803,   22.7338,   84.5327,    0.2369,    0.7442,
   196.900,   22.8312,   89.1155,    0.2385,    0.7670,
   197.000,   22.8725,   91.0915,    0.2402,    0.7764,
   197.100,   22.8790,   91.1960,    0.2424,    0.7768,
   197.200,   22.8643,   90.0990,    0.2448,    0.7717,
   197.304,   22.8296,   88.0397,    0.2478,    0.7614,
   197.400,   22.7971,   86.2993,    0.2514,    0.7520,
   197.500,   22.7836,   85.4655,    0.2562,    0.7476,
   197.600,   22.7350,   83.8703,    0.2581,    0.7373,
   197.700,   22.7100,   82.9801,    0.2608,    0.7314,
   197.803,   22.6608,   81.5080,    0.2593,    0.7209,
   197.900,   22.6140,   80.2704,    0.2547,    0.7112,
   198.000,   22.5506,   78.6037,    0.2480,    0.6984,
   198.100,   22.5913,   79.6194,    0.2531,    0.7048,
   198.204,   22.6287,   80.7731,    0.2555,    0.7117,
   198.304,   22.6905,   82.7502,    0.2601,    0.7240,
   198.400,   22.7365,   84.5027,    0.2626,    0.7340,
   198.500,   22.7644,   85.8214,    0.2630,    0.7405,
   198.600,   22.7582,   85.9780,    0.2605,    0.7396,
   198.700,   22.7352,   85.5159,    0.2561,    0.7349,
   198.803,   22.6888,   84.2921,    0.2483,    0.7253,
   198.903,   22.6479,   83.2587,    0.2404,    0.7170,
   199.000,   22.6111,   82.3786,    0.2327,    0.7098,
   199.100,   22.5956,   82.1237,    0.2279,    0.7067,
   199.200,   22.6077,   82.6728,    0.2276,    0.7088,
   199.304,   22.6531,   84.2590,    0.2326,    0.7174,
   199.400,   22.7004,   85.9850,    0.2384,    0.7269,
   199.500,   22.7285,   87.0811,    0.2415,    0.7323,
   199.600,   22.7361,   87.4059,    0.2418,    0.7332,
   199.700,   22.7466,   87.7597,    0.2432,    0.7346,
   199.803,   22.7553,   87.9827,    0.2450,    0.7354,
   199.900,   22.7510,   87.7130,    0.2452,    0.7333,
   200.000,   22.7402,   87.2018,    0.2435,    0.7297,
   200.100,   22.7034,   85.8750,    0.2365,    0.7207,
   200.204,   22.6695,   84.7225,    0.2295,    0.7124,
   200.304,   22.6450,   83.9554,    0.2244,    0.7066,
   200.400,   22.6578,   84.3049,    0.2262,    0.7081,
   200.500,   22.6509,   84.1439,    0.2240,    0.7060,
   200.600,   22.6583,   84.4043,    0.2240,    0.7067,
   200.700,   22.6608,   84.5734,    0.2232,    0.7068,
   200.804,   22.6904,   85.5497,    0.2280,    0.7123,
   200.900,   22.7012,   86.0431,    0.2292,    0.7144,
   201.000,   22.7269,   87.0038,    0.2332,    0.7196,
   201.100,   22.7300,   87.2592,    0.2326,    0.7201,
   201.200,   22.7386,   87.6667,    0.2334,    0.7218,
   201.301,   22.7354,   87.6965,    0.2318,    0.7210,
   201.406,   22.7061,   86.8702,    0.2245,    0.7146,
   201.500,   22.6445,   85.1276,    0.2113,    0.7021,
   201.600,   22.5627,   83.0168,    0.1965,    0.6872,
   201.700,   22.5149,   81.9223,    0.1884,    0.6790,
   201.804,   22.5065,   81.8832,    0.1868,    0.6776,
   201.901,   22.5895,   84.3293,    0.1979,    0.6919,
   202.000,   22.6914,   87.6460,    0.2149,    0.7115,
   202.100,   22.7324,   89.2296,    0.2225,    0.7200,
   202.200,   22.7108,   88.6185,    0.2170,    0.7151,
   202.302,   22.6138,   85.6631,    0.2002,    0.6959,
   202.400,   22.4926,   82.3832,    0.1864,    0.6747,
   202.500,   22.4266,   80.7835,    0.1830,    0.6641,
   202.600,   22.4737,   82.1750,    0.1860,    0.6714,
   202.700,   22.5780,   85.2265,    0.1953,    0.6889,
   202.804,   22.6662,   88.0400,    0.2066,    0.7051,
   202.904,   22.7195,   89.9055,    0.2149,    0.7153,
   203.000,   22.7261,   90.1725,    0.2162,    0.7161,
   203.100,   22.7123,   89.6578,    0.2137,    0.7123,
   203.200,   22.7159,   89.6802,    0.2140,    0.7121,
   203.302,   22.7462,   90.5742,    0.2205,    0.7178,
   203.400,   22.7554,   90.7493,    0.2242,    0.7184,
   203.500,   22.7423,   90.1703,    0.2233,    0.7143,
   203.600,   22.6941,   88.5600,    0.2168,    0.7037,
   203.700,   22.6162,   86.3428,    0.2089,    0.6891,
   203.804,   22.5214,   83.9921,    0.2048,    0.6736,
   203.900,   22.4694,   82.8382,    0.2060,    0.6657,
   204.000,   22.4780,   83.1674,    0.2069,    0.6667,
   204.100,   22.5232,   84.4391,    0.2079,    0.6734,
   204.200,   22.5844,   86.2385,    0.2102,    0.6833,
   204.304,   22.6216,   87.5397,    0.2136,    0.6901,
   204.400,   22.6416,   88.4124,    0.2162,    0.6941,
   204.500,   22.6596,   89.2759,    0.2192,    0.6980,
   204.600,   22.6897,   90.5406,    0.2226,    0.7041,
   204.700,   22.7055,   91.3469,    0.2251,    0.7076,
