JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),     TDS,    Gen1,    ISS1,    ISS2,     TSS,    TISS,TISSIN  (kg/d),TISSOUT (kg/d),
    87.000,   436.324,   464.071,     5.678,    -0.034,    44.895,     0.000,     0.323,    76.671,   928.860,     1.000,     4.569,  -129.001,     0.000,   239.236,   333.060,    22.497,    12.679,    25.270,    37.346,     0.163,     0.571,     0.733,     0.733, 0.000E+00, 0.000E+00,
    87.100,   437.829,   464.090,     5.583,    -0.017,    43.165,     0.000,     0.326,    76.690,   928.860,     1.000,     4.560,  -113.609,     0.000,   245.393,   332.586,    18.864,     7.552,    25.262,    37.557,     0.176,     0.591,     0.766,     0.766, 0.000E+00, 0.000E+00,
    87.202,   615.259,   464.107,     5.511,    -0.017,    42.296,     0.000,     0.327,    76.707,   928.860,     1.000,     4.554,  -104.310,     0.000,   248.989,   332.267,    15.421,     5.611,    25.242,    37.449,     0.179,     0.603,     0.781,     0.781, 0.000E+00, 0.000E+00,
    87.304,   615.503,   464.126,     5.433,    -0.021,    42.319,    39.427,     0.329,    76.726,   928.860,     1.000,     4.547,   -56.094,    37.195,   254.164,   331.893,    12.419,     3.141,    25.226,    37.418,     0.184,     0.616,     0.798,     0.798, 0.000E+00, 0.000E+00,
    87.400,   583.552,   464.143,     5.420,    -0.023,    44.561,   259.961,     0.331,    76.743,   928.860,     1.000,     4.547,   171.911,   245.246,   260.949,   331.799,     8.003,    -5.518,    25.207,    37.266,     0.185,     0.625,     0.808,     0.808, 0.000E+00, 0.000E+00,
    87.500,   760.107,   464.160,     5.490,    -0.026,    43.991,   222.860,     0.332,    76.760,   928.860,     1.000,     4.554,   164.142,   210.246,   281.689,   332.141,     7.744,   -12.092,    25.187,    37.153,     0.189,     0.637,     0.824,     0.824, 0.000E+00, 0.000E+00,
    87.600,  1200.000,   464.177,     5.525,    -0.027,    50.313,   209.877,     0.333,    76.777,   928.860,     1.000,     4.559,   175.128,   197.997,   294.555,   332.316,     8.238,   -23.129,    25.171,    37.133,     0.197,     0.650,     0.843,     0.843, 0.000E+00, 0.000E+00,
    87.703,  1120.017,   464.192,     5.562,    -0.038,    40.003,   309.827,     0.336,    76.792,   928.860,     1.000,     4.567,   255.109,   292.290,   274.730,   332.452,     6.604,   -27.145,    25.163,    37.262,     0.205,     0.662,     0.868,     0.868, 0.000E+00, 0.000E+00,
    87.806,  1200.000,   464.209,     5.504,    -0.041,    40.110,    14.193,     0.338,    76.809,   928.860,     1.000,     4.569,   -56.606,    13.390,   260.781,   332.283,    10.747,   -12.253,    25.169,    37.667,     0.212,     0.665,     0.878,     0.878, 0.000E+00, 0.000E+00,
    87.900,   505.167,   464.227,     5.402,    -0.030,    43.221,     0.000,     0.337,    76.827,   928.860,     1.000,     4.566,   -91.312,     0.000,   249.416,   331.743,    12.453,    -3.468,    25.180,    38.029,     0.213,     0.659,     0.872,     0.872, 0.000E+00, 0.000E+00,
    88.000,   457.318,   464.245,     5.309,    -0.026,    45.315,     0.000,     0.337,    76.845,   928.860,     1.000,     4.563,  -106.662,     0.000,   242.667,   331.290,    13.228,     4.810,    25.188,    38.296,     0.210,     0.652,     0.862,     0.862, 0.000E+00, 0.000E+00,
    88.100,   606.724,   464.261,     5.235,    -0.022,    43.694,     0.000,     0.339,    76.861,   928.860,     1.000,     4.562,  -112.677,     0.000,   239.106,   330.945,    13.951,     6.888,    25.196,    38.768,     0.221,     0.660,     0.881,     0.881, 0.000E+00, 0.000E+00,
    88.203,   644.159,   464.278,     5.174,    -0.018,    42.097,     0.000,     0.337,    76.878,   928.860,     1.000,     4.563,  -117.327,     0.000,   236.403,   330.655,    14.241,     8.834,    25.201,    38.911,     0.215,     0.652,     0.868,     0.868, 0.000E+00, 0.000E+00,
    88.305,   645.185,   464.295,     5.121,    -0.017,    42.113,    75.787,     0.336,    76.895,   928.860,     1.000,     4.567,   -57.138,    71.497,   231.436,   330.397,    15.627,    14.048,    25.206,    39.021,     0.208,     0.643,     0.852,     0.852, 0.000E+00, 0.000E+00,
    88.400,   581.835,   464.310,     5.184,    -0.029,    44.328,   462.227,     0.334,    76.910,   928.860,     1.000,     4.583,   348.912,   436.063,   245.870,   330.655,     8.315,    -5.948,    25.214,    39.101,     0.199,     0.632,     0.832,     0.832, 0.000E+00, 0.000E+00,
    88.500,   788.165,   464.326,     5.435,    -0.035,    44.395,   699.641,     0.332,    76.926,   928.860,     1.000,     4.616,   605.474,   660.038,   266.735,   331.823,    13.042,   -23.566,    25.221,    39.246,     0.192,     0.622,     0.815,     0.815, 0.000E+00, 0.000E+00,
    88.600,  1200.000,   464.342,     5.748,    -0.031,    49.981,   718.630,     0.331,    76.942,   928.860,     1.000,     4.659,   633.239,   677.953,   275.453,   333.332,    15.950,   -29.114,    25.230,    39.378,     0.186,     0.613,     0.800,     0.800, 0.000E+00, 0.000E+00,
    88.704,  1200.000,   464.355,     5.980,    -0.029,    39.977,   411.461,     0.328,    76.955,   928.860,     1.000,     4.704,   337.004,   388.171,   274.538,   334.399,    24.511,   -33.206,    25.246,    39.414,     0.178,     0.602,     0.782,     0.782, 0.000E+00, 0.000E+00,
    88.806,  1200.000,   464.372,     5.980,    -0.022,    40.143,    12.301,     0.327,    76.972,   928.860,     1.000,     4.736,   -67.029,    11.605,   257.166,   334.541,    16.194,   -14.935,    25.268,    39.344,     0.169,     0.591,     0.762,     0.762, 0.000E+00, 0.000E+00,
    88.900,   499.195,   464.390,     5.922,    -0.008,    43.349,     0.000,     0.324,    76.990,   928.860,     1.000,     4.763,  -105.051,     0.000,   243.396,   334.217,    13.895,     0.336,    25.297,    39.152,     0.158,     0.577,     0.736,     0.736, 0.000E+00, 0.000E+00,
    89.000,   448.742,   464.407,     5.909,     0.006,    45.214,     0.000,     0.322,    77.007,   928.860,     1.000,     4.794,  -114.129,     0.000,   241.707,   334.146,    15.442,     6.248,    25.338,    38.797,     0.149,     0.563,     0.713,     0.713, 0.000E+00, 0.000E+00,
    89.100,   539.137,   464.424,     5.896,     0.026,    42.335,     0.000,     0.319,    77.024,   928.860,     1.000,     4.822,  -151.886,     0.000,   228.367,   334.092,    22.933,    23.228,    25.397,    38.173,     0.134,     0.543,     0.679,     0.679, 0.000E+00, 0.000E+00,
    89.202,   619.347,   464.442,     5.848,     0.042,    42.402,     0.000,     0.316,    77.042,   928.860,     1.000,     4.843,  -163.405,     0.000,   224.963,   333.869,    25.756,    28.744,    25.470,    37.397,     0.123,     0.527,     0.651,     0.651, 0.000E+00, 0.000E+00,
    89.304,   620.951,   464.459,     5.794,     0.055,    42.365,    51.681,     0.315,    77.059,   928.860,     1.000,     4.854,  -103.307,    48.756,   228.937,   333.607,    23.486,    23.907,    25.527,    36.726,     0.118,     0.522,     0.641,     0.641, 0.000E+00, 0.000E+00,
