$STR WITHDRAWAL AT SEG11                                     ELEV OF WITHDRAWAL CENTERLINE:470.     

JDAY,QWD(m3s-1)
    78.100,    0.0000
    78.204,    0.0000
    78.306,    0.0000
    78.400,    0.0000
    78.500,    0.0000
    78.600,    0.0000
    78.704,    0.0000
    78.806,    0.0000
    78.900,    0.0000
    79.000,    0.0000
    79.100,    0.0000
    79.205,    0.0000
    79.307,    0.0000
    79.400,    0.0000
    79.500,    0.0000
    79.600,    0.0000
    79.704,    0.0000
    79.803,    0.0000
    79.900,    0.0000
    80.000,    0.0000
    80.100,    0.0000
    80.204,    0.0000
    80.306,    0.0000
    80.400,    0.0000
    80.500,    0.0000
    80.600,    0.0000
    80.704,    0.0000
    80.806,    0.0000
    80.900,    0.0000
    81.000,    0.0000
    81.100,    0.0000
    81.206,    0.0000
    81.302,    0.0000
    81.400,    0.0000
    81.500,    0.0000
    81.600,    0.0000
    81.703,    0.0000
    81.805,    0.0000
    81.900,    0.0000
    82.000,    0.0000
    82.100,    0.0000
    82.206,    0.0000
    82.308,    0.0000
    82.400,    0.0000
    82.500,    0.0000
    82.600,    0.0000
    82.704,    0.0000
    82.806,    0.0000
    82.900,    0.0000
    83.000,    0.0000
    83.100,    0.0000
    83.204,    0.0000
    83.306,    0.0000
    83.400,    0.0000
    83.500,    0.0000
    83.600,    0.0000
    83.704,    0.0000
    83.806,    0.0000
    83.900,    0.0000
    84.000,    0.0000
    84.100,    0.0000
    84.203,    0.0000
    84.306,    0.0000
    84.400,    0.0000
    84.500,    0.0000
    84.600,    0.0000
    84.704,    0.0000
    84.804,    0.0000
    84.900,    0.0000
    85.000,    0.0000
    85.100,    0.0000
    85.203,    0.0000
    85.305,    0.0000
    85.400,    0.0000
    85.500,    0.0000
    85.600,    0.0000
    85.700,    0.0000
    85.804,    0.0000
    85.900,    0.0000
    86.000,    0.0000
    86.100,    0.0000
    86.202,    0.0000
    86.304,    0.0000
    86.400,    0.0000
    86.500,    0.0000
    86.600,    0.0000
    86.704,    0.0000
    86.802,    0.0000
    86.900,    0.0000
    87.000,    0.0000
    87.100,    0.0000
    87.202,    0.0000
    87.304,    0.0000
    87.400,    0.0000
    87.500,    0.0000
    87.600,    0.0000
    87.703,    0.0000
    87.806,    0.0000
    87.900,    0.0000
    88.000,    0.0000
    88.100,    0.0000
    88.203,    0.0000
    88.305,    0.0000
    88.400,    0.0000
    88.500,    0.0000
    88.600,    0.0000
    88.704,    0.0000
    88.806,    0.0000
    88.900,    0.0000
    89.000,    0.0000
    89.100,    0.0000
    89.202,    0.0000
    89.304,    0.0000
    89.400,    0.0000
    89.500,    0.0000
    89.600,    0.0000
    89.704,    0.0000
    89.806,    0.0000
    89.900,    0.0000
    90.000,    0.0000
    90.100,    0.0000
    90.202,    0.0000
    90.304,    0.0000
    90.400,    0.0000
    90.500,    0.0000
    90.600,    0.0000
    90.702,    0.0000
    90.808,    0.0000
    90.900,    0.0000
    91.000,    0.0000
    91.100,    0.0000
    91.201,    0.0000
    91.303,    0.0000
    91.400,    0.0000
    91.500,    0.0000
    91.600,    0.0000
    91.703,    0.0000
    91.806,    0.0000
    91.900,    0.0000
    92.000,    0.0000
    92.100,    0.0000
    92.205,    0.0000
    92.302,    0.0000
    92.400,    0.0000
    92.500,    0.0000
    92.600,    0.0000
    92.701,    0.0000
    92.805,    0.0000
    92.900,    0.0000
    93.000,    0.0000
    93.100,    0.0000
    93.204,    0.0000
    93.301,    0.0000
    93.400,    0.0000
    93.500,    0.0000
    93.600,    0.0000
    93.708,    0.0000
    93.804,    0.0000
    93.900,    0.0000
    94.000,    0.0000
    94.100,    0.0000
    94.204,    0.0000
    94.300,    0.0000
    94.400,    0.0000
    94.500,    0.0000
    94.600,    0.0000
    94.708,    0.0000
    94.802,    0.0000
    94.900,    0.0000
    95.000,    0.0000
    95.100,    0.0000
    95.201,    0.0000
    95.303,    0.0000
    95.400,    0.0000
    95.500,    0.0000
    95.600,    0.0000
    95.701,    0.0000
    95.801,    0.0000
    95.900,    0.0000
    96.000,    0.0000
    96.100,    0.0000
    96.201,    0.0000
    96.303,    0.0000
    96.400,    0.0000
    96.500,    0.0000
    96.600,    0.0000
    96.708,    0.0000
    96.802,    0.0000
    96.900,    0.0000
    97.000,    0.0000
    97.100,    0.0000
    97.201,    0.0000
    97.304,    0.0000
    97.400,    0.0000
    97.500,    0.0000
    97.600,    0.0000
    97.700,    0.0000
    97.801,    0.0000
    97.900,    0.0000
    98.000,    0.0000
    98.100,    0.0000
    98.202,    0.0000
    98.303,    0.0000
    98.400,    0.0000
    98.500,    0.0000
    98.600,    0.0000
    98.701,    0.0000
    98.804,    0.0000
    98.900,    0.0000
    99.000,    0.0000
    99.100,    0.0000
    99.204,    0.0000
    99.302,    0.0000
    99.400,    0.0000
    99.500,    0.0000
    99.600,    0.0000
    99.700,    0.0000
    99.801,    0.0000
    99.900,    0.0000
   100.000,    0.0000
   100.100,    0.0000
   100.200,    0.0000
   100.303,    0.0000
   100.400,    0.0000
   100.500,    0.0000
   100.600,    0.0000
   100.700,    0.0000
   100.801,    0.0000
   100.900,    0.0000
   101.000,    0.0000
   101.100,    0.0000
   101.200,    0.0000
   101.303,    0.0000
   101.400,    0.0000
   101.500,    0.0000
   101.600,    0.0000
   101.700,    0.0000
   101.803,    0.0000
   101.900,    0.0000
   102.000,    0.0000
   102.100,    0.0000
   102.200,    0.0000
   102.302,    0.0000
   102.400,    0.0000
   102.500,    0.0000
   102.600,    0.0000
   102.700,    3.3659
   102.801,   12.3963
   102.900,   14.1580
   103.000,   14.1580
   103.100,   14.1580
   103.200,   14.1580
   103.302,   14.1580
   103.400,   14.1580
   103.500,   14.1580
   103.600,   14.1580
   103.700,   14.1580
   103.801,   14.5070
   103.900,   15.2440
   104.000,   14.1580
   104.100,   14.8741
   104.202,   69.1300
   104.301,   69.1300
   104.400,   69.1300
   104.500,   69.1300
   104.600,   69.1300
   104.700,   69.1300
   104.802,   69.1300
   104.900,   69.1300
   105.000,   69.1300
   105.100,   94.3890
   105.200,   94.3890
   105.300,   94.3890
   105.400,   94.3890
   105.500,   94.3890
   105.600,   94.3890
   105.700,   94.3890
   105.803,   94.3890
   105.900,   94.3890
   106.000,   94.3890
   106.100,   94.3890
   106.200,   94.3890
   106.301,   94.3890
   106.400,   94.3890
   106.500,   94.3890
   106.600,   94.3890
   106.700,   94.3890
   106.801,   94.3890
   106.900,   94.3890
   107.000,   94.3890
   107.100,   94.3890
   107.200,   94.3890
   107.301,   94.3890
   107.400,   85.9481
   107.500,   40.7400
   107.600,   40.7400
   107.700,   40.7400
   107.801,   40.7400
   107.900,   40.7400
   108.000,   40.7400
   108.100,   31.8840
   108.200,   31.8840
   108.301,   31.8840
   108.400,   31.8840
   108.500,   31.8840
   108.600,   31.8840
   108.700,   31.8840
   108.801,   31.8840
   108.900,   31.8840
   109.000,   31.8840
   109.100,   26.4020
   109.200,   26.4020
   109.302,   26.4020
   109.400,   26.4020
   109.500,   26.4020
   109.600,   26.4020
   109.700,   26.4020
   109.802,   26.4020
   109.900,   26.4020
   110.000,   26.4020
   110.100,   22.6070
   110.200,   22.6070
   110.302,   22.6070
   110.400,   22.6070
   110.500,   22.6070
   110.600,   22.6070
   110.700,   22.6070
   110.802,   22.6070
   110.900,   22.6070
   111.000,   22.6070
   111.100,   21.1310
   111.200,   21.1310
   111.302,   21.1320
   111.400,   21.1320
   111.500,   21.1320
   111.600,   21.1320
   111.700,   21.1320
   111.800,   21.1320
   111.900,   21.1320
   112.000,   21.1320
   112.100,   20.9210
   112.200,   20.9210
   112.302,   20.9210
   112.400,   20.9210
   112.500,   20.9210
   112.600,   20.9210
   112.700,   20.9210
   112.802,   20.9212
   112.900,   20.9220
   113.000,   20.9220
   113.100,   21.1330
   113.200,   21.1330
   113.303,   21.1330
   113.400,   21.1330
   113.500,   21.1330
   113.600,   21.1330
   113.700,   21.1330
   113.800,   21.1330
   113.900,   21.1330
   114.000,   21.1330
   114.100,   19.6570
   114.200,   19.6570
   114.300,   19.6570
   114.400,   19.6570
   114.500,   19.6570
   114.600,   19.6570
   114.700,   19.6570
   114.800,   19.6570
   114.900,   19.6570
   115.000,   19.6580
   115.100,   19.4470
   115.200,   19.4470
   115.302,   19.4470
   115.400,   19.4470
   115.500,   19.4470
   115.600,   19.4470
   115.700,   19.4470
   115.800,   19.4470
   115.900,   19.4470
   116.000,   19.4470
   116.100,   20.2142
   116.200,   20.0800
   116.303,   20.0800
   116.400,   20.0800
   116.500,   20.0800
   116.600,   20.0800
   116.700,   20.0800
   116.800,   20.0800
   116.902,   20.0800
   117.000,   20.0800
   117.100,   19.0260
   117.200,   19.0260
   117.302,   19.0260
   117.400,   19.0260
   117.500,   19.0260
   117.600,   19.0260
   117.700,   19.0260
   117.800,   19.0261
   117.900,   19.0270
   118.000,   19.0270
   118.100,   17.1290
   118.200,   17.1290
   118.303,   17.1290
   118.400,   17.1290
   118.500,   17.1290
   118.600,   17.1290
   118.700,   17.1290
   118.801,   17.1290
   118.900,   17.1290
   119.000,   17.1290
   119.100,   16.9190
   119.200,   16.9190
   119.303,   16.9190
   119.400,   16.9190
   119.500,   16.9190
   119.600,   16.9190
   119.700,   16.9190
   119.801,   17.6827
   119.900,   17.6590
   120.000,   17.6590
   120.100,   18.5562
   120.200,   19.4825
   120.300,   20.4628
   120.400,   21.4848
   120.500,   22.5952
   120.600,   20.3770
   120.700,   20.3770
   120.800,   20.3770
   120.900,   20.3770
   121.000,   20.3770
   121.100,   21.2229
   121.200,   21.0810
   121.300,   21.0810
   121.400,   21.0810
   121.500,   21.0810
   121.600,   21.0810
   121.700,   21.0810
   121.800,   21.0810
   121.900,   21.0810
   122.000,   21.0810
   122.100,   22.1316
   122.200,   23.2764
   122.302,   24.6660
   122.400,   24.6660
   122.500,   24.6660
   122.600,   24.6660
   122.700,   24.6660
   122.802,   24.6660
   122.900,   24.6660
   123.000,   24.6660
   123.100,   25.9143
   123.200,   27.2212
   123.301,   28.5963
   123.400,   28.6429
   123.500,   27.4070
   123.600,   27.4070
   123.700,   27.4070
   123.801,   27.4070
   123.900,   27.4070
   124.000,   27.4070
   124.100,   24.6660
   124.200,   24.6660
   124.302,   24.6660
   124.400,   24.6660
   124.500,   24.6660
   124.600,   24.6660
   124.700,   24.6660
   124.802,   24.6660
   124.900,   24.6660
   125.000,   24.6660
   125.100,   39.4117
   125.200,   33.8450
   125.302,   33.8450
   125.400,   33.8450
   125.500,   33.8450
   125.600,   33.8450
   125.700,   33.8450
   125.802,   33.8450
