$WITHDRAWAL AT SEG11                                         ELEV OF WITHDRAWAL CENTERLINE:428.     

JDAY,     TSS,    TISS,
    66.900,    1.9633,    1.9640,
    67.000,    1.9884,    1.9889,
    67.100,    2.0004,    2.0008,
    67.201,    1.9960,    1.9956,
    67.301,    1.9803,    1.9802,
    67.400,    1.9671,    1.9670,
    67.500,    1.8973,    1.8975,
    67.600,    1.8933,    1.8935,
    67.706,    1.9197,    1.9199,
    67.802,    1.9279,    1.9281,
    67.900,    1.9376,    1.9377,
    68.000,    1.9560,    1.9560,
    68.100,    1.9586,    1.9583,
    68.204,    1.9618,    1.9614,
    68.303,    1.9587,    1.9586,
    68.400,    1.9510,    1.9507,
    68.500,    1.8918,    1.8918,
    68.600,    1.8783,    1.8782,
    68.708,    1.8844,    1.8844,
    68.806,    1.8907,    1.8906,
    68.900,    1.9044,    1.9041,
    69.000,    1.9102,    1.9100,
    69.100,    1.9091,    1.9089,
    69.201,    1.9040,    1.9038,
    69.303,    1.8920,    1.8918,
    69.400,    1.8702,    1.8699,
    69.500,    1.8168,    1.8166,
    69.600,    1.8063,    1.8063,
    69.708,    1.8041,    1.8042,
    69.806,    1.8067,    1.8065,
    69.900,    1.8118,    1.8113,
    70.000,    1.8153,    1.8152,
    70.100,    1.8156,    1.8154,
    70.202,    1.8136,    1.8134,
    70.303,    1.8081,    1.8080,
    70.400,    1.7833,    1.7832,
    70.500,    1.7887,    1.7886,
    70.600,    1.7820,    1.7819,
    70.701,    1.7778,    1.7777,
    70.802,    1.7744,    1.7743,
    70.900,    1.7724,    1.7723,
    71.000,    1.7712,    1.7712,
    71.100,    1.7726,    1.7726,
    71.201,    1.7768,    1.7769,
    71.303,    1.7836,    1.7837,
    71.400,    1.7995,    1.7996,
    71.500,    1.8353,    1.8375,
    71.600,    1.9006,    1.9036,
    71.700,    1.9708,    1.9732,
    71.803,    2.0407,    2.0433,
    71.900,    2.0960,    2.0980,
    72.000,    2.1631,    2.1655,
    72.100,    2.3440,    2.3468,
    72.201,    2.4198,    2.4226,
    72.303,    2.3428,    2.3452,
    72.400,    2.3143,    2.3158,
    72.500,    2.3077,    2.3091,
    72.600,    2.3979,    2.3989,
    72.701,    2.4317,    2.4331,
    72.803,    2.5103,    2.5118,
    72.900,    2.7422,    2.7441,
    73.000,    2.8119,    2.8147,
    73.100,    2.9704,    2.9749,
    73.202,    3.1170,    3.1202,
    73.304,    3.2449,    3.2478,
    73.400,    3.2597,    3.2630,
    73.500,    3.2239,    3.2278,
    73.600,    3.1799,    3.1860,
    73.705,    3.2056,    3.2082,
    73.801,    3.2586,    3.2607,
    73.900,    3.3734,    3.3774,
    74.000,    3.4093,    3.4117,
    74.100,    3.4200,    3.4221,
    74.205,    3.5142,    3.5153,
    74.301,    3.5806,    3.5814,
    74.400,    3.6302,    3.6318,
    74.500,    3.6026,    3.6036,
    74.600,    3.5415,    3.5425,
    74.704,    3.6552,    3.6555,
    74.802,    3.5909,    3.5923,
    74.900,    3.4805,    3.4819,
    75.000,    3.4138,    3.4154,
    75.100,    3.5773,    3.5790,
    75.201,    3.6795,    3.6817,
    75.303,    3.6640,    3.6662,
    75.400,    3.6549,    3.6557,
    75.500,    3.1931,    3.1949,
    75.600,    3.2532,    3.2551,
    75.701,    3.2399,    3.2428,
    75.803,    3.2934,    3.2961,
    75.900,    3.3967,    3.3992,
    76.000,    3.5457,    3.5511,
    76.100,    3.6279,    3.6287,
    76.202,    3.5773,    3.5768,
    76.304,    3.4977,    3.4971,
    76.400,    3.4184,    3.4182,
    76.500,    3.3800,    3.3804,
    76.600,    3.3821,    3.3825,
    76.703,    3.3965,    3.3972,
    76.805,    3.4591,    3.4597,
    76.900,    3.4767,    3.4776,
    77.000,    3.4999,    3.5002,
    77.100,    3.5143,    3.5144,
    77.204,    3.5081,    3.5069,
