$Concentration file for segment 11

JDAY,     TDS,    Gen1,    ISS1,    ISS2,
    27.302,   23.0487,   18.2842,    3.7133,    2.0426,
    27.400,   23.0505,   18.3508,    3.6807,    2.0365,
    27.500,   23.0518,   18.4210,    3.6505,    2.0314,
    27.600,   23.0526,   18.4937,    3.6269,    2.0272,
    27.704,   23.0531,   18.5726,    3.6068,    2.0234,
    27.802,   23.0537,   18.6497,    3.5777,    2.0179,
    27.900,   23.0541,   18.7238,    3.5490,    2.0126,
    28.000,   23.0545,   18.8085,    3.5277,    2.0087,
    28.100,   23.0555,   18.8852,    3.5052,    2.0045,
    28.208,   23.0567,   18.9694,    3.4817,    1.9999,
    28.302,   23.0579,   19.0530,    3.4595,    1.9957,
    28.400,   23.0593,   19.1329,    3.4387,    1.9916,
    28.500,   23.0604,   19.2202,    3.4217,    1.9883,
    28.600,   23.0616,   19.3077,    3.4066,    1.9854,
    28.701,   23.0630,   19.3914,    3.3891,    1.9820,
    28.802,   23.0651,   19.4735,    3.3683,    1.9778,
    28.900,   23.0693,   19.5409,    3.3291,    1.9698,
    29.000,   23.0721,   19.6138,    3.3076,    1.9652,
    29.100,   23.0752,   19.6847,    3.2856,    1.9604,
    29.208,   23.0785,   19.7601,    3.2622,    1.9554,
    29.302,   23.0819,   19.8276,    3.2394,    1.9505,
    29.400,   23.0857,   19.9043,    3.2162,    1.9456,
    29.500,   23.0895,   19.9716,    3.1953,    1.9411,
    29.600,   23.0926,   20.0530,    3.1792,    1.9377,
    29.701,   23.0949,   20.1381,    3.1646,    1.9347,
    29.802,   23.0975,   20.2217,    3.1464,    1.9309,
    29.900,   23.1016,   20.2931,    3.1192,    1.9252,
    30.000,   23.1090,   20.3551,    3.0786,    1.9168,
    30.100,   23.1141,   20.4229,    3.0532,    1.9121,
    30.202,   23.1204,   20.4822,    3.0244,    1.9071,
    30.302,   23.1274,   20.5469,    2.9937,    1.9015,
    30.400,   23.1350,   20.6132,    2.9630,    1.8957,
    30.500,   23.1428,   20.6856,    2.9332,    1.8898,
    30.600,   23.1493,   20.7559,    2.9097,    1.8849,
    30.702,   23.1549,   20.8212,    2.8874,    1.8799,
    30.802,   23.1618,   20.8782,    2.8575,    1.8732,
    30.900,   23.1695,   20.9265,    2.8279,    1.8664,
    31.000,   23.1774,   20.9786,    2.7982,    1.8598,
    31.100,   23.1836,   21.0399,    2.7747,    1.8549,
    31.202,   23.1920,   21.0987,    2.7450,    1.8483,
    31.300,   23.2020,   21.1505,    2.7113,    1.8405,
    31.400,   23.2076,   21.2236,    2.6888,    1.8365,
    31.500,   23.2203,   21.2519,    2.6442,    1.8262,
