$Flow file for segment 11
To the right of the sum of flows are individual flows starting with QWD then QSTR
JDAY,QWD(m3s-1),
    60.700,   28.320,            0.000,
    60.802,   28.320,            0.000,
    60.900,   28.320,            0.000,
    61.000,   28.320,            0.000,
    61.100,   28.320,            0.000,
    61.201,   28.320,            0.000,
    61.304,   28.320,            0.000,
    61.400,   28.320,            0.000,
    61.500,   28.320,            0.000,
    61.600,   28.320,            0.000,
    61.701,   28.320,            0.000,
    61.803,   28.320,            0.000,
    61.900,   28.320,            0.000,
    62.000,   28.320,            0.000,
    62.100,   28.320,            0.000,
    62.201,   28.320,            0.000,
    62.308,   28.320,            0.000,
    62.400,   28.320,            0.000,
    62.500,   28.320,            0.000,
    62.600,   28.320,            0.000,
    62.704,   28.320,            0.000,
    62.803,   28.320,            0.000,
    62.900,   28.320,            0.000,
    63.000,   28.320,            0.000,
    63.100,   28.320,            0.000,
    63.201,   28.320,            0.000,
    63.306,   28.320,            0.000,
    63.400,   28.320,            0.000,
    63.500,   28.320,            0.000,
    63.600,   28.320,            0.000,
    63.701,   28.320,            0.000,
    63.803,   28.320,            0.000,
    63.900,   28.320,            0.000,
    64.000,   28.320,            0.000,
    64.100,   28.320,            0.000,
    64.201,   28.320,            0.000,
    64.304,   28.320,            0.000,
    64.400,   28.320,            0.000,
    64.500,   28.320,            0.000,
    64.600,   28.320,            0.000,
    64.707,   28.320,            0.000,
    64.801,   28.320,            0.000,
    64.900,   28.320,            0.000,
    65.000,   28.320,            0.000,
    65.100,   28.320,            0.000,
    65.201,   28.320,            0.000,
    65.303,   28.320,            0.000,
    65.400,   28.320,            0.000,
    65.500,   28.320,            0.000,
    65.600,   28.320,            0.000,
    65.701,   28.320,            0.000,
    65.802,   28.320,            0.000,
    65.900,   28.320,            0.000,
    66.000,   28.320,            0.000,
    66.100,   28.320,            0.000,
    66.201,   28.320,            0.000,
    66.304,   28.320,            0.000,
    66.400,   28.320,            0.000,
    66.500,   28.320,            0.000,
    66.600,   28.320,            0.000,
    66.703,   28.320,            0.000,
    66.800,   28.320,            0.000,
    66.900,   28.320,            0.000,
    67.000,   28.320,            0.000,
    67.100,   28.320,            0.000,
    67.201,   28.320,            0.000,
    67.301,   28.320,            0.000,
    67.400,   28.320,            0.000,
    67.500,   28.320,            0.000,
    67.600,   28.320,            0.000,
    67.706,   28.320,            0.000,
    67.802,   28.320,            0.000,
    67.900,   28.320,            0.000,
    68.000,   28.320,            0.000,
    68.100,   28.320,            0.000,
    68.204,   28.320,            0.000,
    68.303,   28.320,            0.000,
    68.400,   28.320,            0.000,
    68.500,   28.320,            0.000,
    68.600,   28.320,            0.000,
    68.708,   28.320,            0.000,
    68.806,   28.320,            0.000,
    68.900,   28.320,            0.000,
    69.000,   28.320,            0.000,
    69.100,   28.320,            0.000,
    69.201,   28.320,            0.000,
    69.303,   28.320,            0.000,
    69.400,   28.320,            0.000,
    69.500,   28.320,            0.000,
    69.600,   28.320,            0.000,
    69.708,   28.320,            0.000,
    69.806,   28.320,            0.000,
    69.900,   28.320,            0.000,
    70.000,   28.320,            0.000,
    70.100,   28.320,            0.000,
    70.202,   28.320,            0.000,
    70.303,   28.320,            0.000,
    70.400,   28.320,            0.000,
    70.500,   28.320,            0.000,
    70.600,   28.320,            0.000,
    70.701,   28.320,            0.000,
    70.802,   28.320,            0.000,
    70.900,   28.320,            0.000,
    71.000,   28.320,            0.000,
    71.100,   28.320,            0.000,
    71.201,   28.320,            0.000,
    71.303,   28.320,            0.000,
    71.400,   28.320,            0.000,
    71.500,   28.320,            0.000,
    71.600,   28.320,            0.000,
    71.700,   28.320,            0.000,
    71.803,   28.320,            0.000,
    71.900,   28.320,            0.000,
    72.000,   28.320,            0.000,
    72.100,   28.320,            0.000,
    72.201,   28.320,            0.000,
    72.303,   28.320,            0.000,
    72.400,   28.320,            0.000,
    72.500,   28.320,            0.000,
    72.600,   28.320,            0.000,
    72.701,   28.320,            0.000,
    72.803,   28.320,            0.000,
    72.900,   28.320,            0.000,
    73.000,   28.320,            0.000,
