 Fish habitat analysis: CE-QUAL-W2 model results
 
 Species, Temperature minimum, Temperature maximum, Dissolved oxygen minimum
RainbowTrout,               0.00,   18.00,    5.00
StripedBass,               10.00,   24.00,    5.00
Walleye,                   12.00,   24.00,    5.00
WhiteBass,                  0.00,   28.00,    3.00
SmallmouthBass,             0.00,   29.00,    4.00
SpottedBass,                0.00,   24.40,    6.00
GizzardShad,               10.00,   26.70,    6.00
LargemouthBass,            10.00,   30.00,    5.00
ChannelCatfish,            18.00,   31.00,    5.00
 
JDAY,%VOL-RainbowTrout,HAB-VOL(m3)-RainbowTrout,%VOL-StripedBass,HAB-VOL(m3)-StripedBass,%VOL-Walleye,HAB-VOL(m3)-Walleye,%VOL-WhiteBass,HAB-VOL(m3)-WhiteBass,%VOL-SmallmouthBass,HAB-VOL(m3)-SmallmouthBass,%VOL-SpottedBass,HAB-VOL(m3)-SpottedBass,%VOL-GizzardShad,HAB-VOL(m3)-GizzardShad,%VOL-LargemouthBass,HAB-VOL(m3)-LargemouthBass,%VOL-ChannelCatfish,HAB-VOL(m3)-ChannelCatfish,
     6.600,  100.00,  0.2040E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2040E+09,  100.00,  0.2040E+09,  100.00,  0.2040E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     6.703,  100.00,  0.2042E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2042E+09,  100.00,  0.2042E+09,  100.00,  0.2042E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     6.804,  100.00,  0.2046E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2046E+09,  100.00,  0.2046E+09,  100.00,  0.2046E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     6.900,  100.00,  0.2049E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2049E+09,  100.00,  0.2049E+09,  100.00,  0.2049E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.000,  100.00,  0.2053E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2053E+09,  100.00,  0.2053E+09,  100.00,  0.2053E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.100,  100.00,  0.2054E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2054E+09,  100.00,  0.2054E+09,  100.00,  0.2054E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.203,  100.00,  0.2053E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2053E+09,  100.00,  0.2053E+09,  100.00,  0.2053E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.302,  100.00,  0.2055E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2055E+09,  100.00,  0.2055E+09,  100.00,  0.2055E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.400,  100.00,  0.2057E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2057E+09,  100.00,  0.2057E+09,  100.00,  0.2057E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.500,  100.00,  0.2060E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2060E+09,  100.00,  0.2060E+09,  100.00,  0.2060E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.600,  100.00,  0.2063E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2063E+09,  100.00,  0.2063E+09,  100.00,  0.2063E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.702,  100.00,  0.2068E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2068E+09,  100.00,  0.2068E+09,  100.00,  0.2068E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.800,  100.00,  0.2073E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2073E+09,  100.00,  0.2073E+09,  100.00,  0.2073E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     7.900,  100.00,  0.2079E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2079E+09,  100.00,  0.2079E+09,  100.00,  0.2079E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
     8.000,  100.00,  0.2087E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,  100.00,  0.2087E+09,  100.00,  0.2087E+09,  100.00,  0.2087E+09,    0.00,  0.0000E+00,    0.00,  0.0000E+00,    0.00,  0.0000E+00,
